Marka;Historia marki;Tagi;Czy wyœwietlaæ
Fata Verde;"Absynt ze wzglêdu na zielon¹ barwê i w³aœciwoœci psychoaktywne absynt zdoby³ przydomek Zielonej Wró¿ki. Przez d³u¿szy czas jego produkcja by³a zakazana w wielu krajach. Dopiero na pocz¹tku lat 90. ubieg³ego wieku wznowiono jego wytwarzanie przy maksymalnym poziomie tujonu (zwi¹zek terpenowy pio³unu) do 10 mg/l. Absynt podajemy z mocno sch³odzon¹ wod¹ w proporcji 1:3, a nawet 1:5. Dla z³agodzenia goryczy dodajemy ³y¿eczkê cukru.

";Absynt, W³ochy;1
Glenlivet;Faktem jest, ¿e to jedna z najstarszych destylarni w Szkocji. W 1824 roku w³aœciciel destylarni jako pierwszy zdoby³ licencjê na legaln¹ produkcjê whisky. Gorzelnia le¿y w dolinie rzeki Livet, w Speyside, królestwie delikatnych whisky, a jej flagowy produkt to Glenlivet 12yo.;Whisky, Szkocja, Single malt, Speyside;1
Glenfiddich;"Glenfiddich w jêzyku gaelickim oznacza Dolina Jeleni, st¹d g³owa jelenia w logotypie tej marki whisky. Glenfiddich to najbardziej popularna whisky single malt na œwiecie. Swoj¹ siln¹ pozycjê zawdziêcza wytrwa³oœci Williama Granta i wielu pokoleñ jego rodziny, która od 1887 roku prowadzi destylarniê w ma³ym szkockim miasteczku regionu Speyside. Glenfiddich powstaje z najlepszego jêczmienia i krystalicznie czystej wody uzyskiwanej z podziemnego Ÿród³a Robbie Dhu. Niezrównany smak i aromat Glenfiddich to rezultat le¿akowania w beczkach z najlepszego drewna z ró¿nych czêœci œwiata: hiszpañskich beczkach po sherry, beczkach po bourbonie z USA oraz po karaibskim rumie. Whisky Glenfiddich uzyska³a od 2000 roku najwiêcej nagród na najbardziej presti¿owych konkursach the International Wine & Spirit Competition oraz the International Spirits Challenge spoœród wszystkich szkockich whisky single malt na œwiecie.

";Whisky, Szkocja, Single malt, Speyside;1
Grand Tetras;0;Aperitif, Francja;1
Glenglassaugh;"Glenglassaugh to jedyna nadmorska destylarnia po³o¿ona na granicy regionów Highland i Speyside, co wp³ywa na charakter smaku i aromatu wytwarzanej tam whisky. Whisky dojrzewa w nadbrze¿nych magazynach, gdzie wystawiona na dzia³anie morskiego powietrza nabiera intryguj¹cych, wytrawnych nut smakowych. To whisky s³odowa o cechach typowych dla regionu Highland, a jednoczeœnie o uwodzicielskim nadmorskim wdziêku.
";Whisky, Szkocja, Single malt, Highland;1
Grey Goose;0;Wódka, Francja, Pszenica;1
Havana;"Starzenie na kubie jak i w innych ciep³ych krajach jest dosyæ uci¹¿liwe ze wzglêdu na warunki klimatyczne. Du¿a wilgotnoœæ i temperatura sprawia ¿e angels' share nie stanowi 3% jak w przypadku whisky tylko 7% a nawet do 10%.

";Rum, Kuba;1
Hendrick's;Na rynku ukaza³ siê w 2001 produkowany przez znan¹ w œwiecie whisky rodzinn¹ firmê William Grant & Sons. Destylowany jest w gorzelni Girvan, w charakterystycznych i unikatowych alembikach typu Carter- Head.;Gin, Szkocja;1
Jameson;0;Whisky, Irlandia;1
Jim Beam;0;Bourbon;1
